date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:36	196/196	---M-Z	200	added ('OK')	text/plain	date:Tue,%2024%20Sep%202019%2016:25:44%20GMT	https://rajbarcode.com/robots.txt		(from )
11:22:42	1525793/1525793	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Jul%202026%2005:52:47%20GMT	https://rajbarcode.com/	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/index.html	(from )
11:22:42	7532/7532	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2010%20Jan%202024%2006:17:31%20GMT	https://rajbarcode.com/wp-content/uploads/2024/01/Warehose-Management-System-1.svg	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/uploads/2024/01/Warehose-Management-System-1.svg	(from https://rajbarcode.com/)
11:22:44	2781/2781	---M-Z	200	added ('OK')	text/xml	date:Tue,%2007%20Jul%202026%2005:52:51%20GMT	https://rajbarcode.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Frajbarcode.com%2F&format=xml	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-json/oembed/1.0/embed8eba	(from https://rajbarcode.com/)
11:22:45	53527/53527	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Dec%202025%2016:58:03%20GMT	https://rajbarcode.com/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1765213083	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/uploads/elementor/css/custom-frontend.min061a.css	(from https://rajbarcode.com/)
11:22:46	24355/24355	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Dec%202025%2016:57:59%20GMT	https://rajbarcode.com/wp-content/uploads/elementor/css/post-3436.css?ver=1765213079	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/uploads/elementor/css/post-34362673.css	(from https://rajbarcode.com/)
11:22:46	12043/12043	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Dec%202025%2016:57:59%20GMT	https://rajbarcode.com/wp-content/uploads/elementor/css/post-9053.css?ver=1765213079	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/uploads/elementor/css/post-90532673.css	(from https://rajbarcode.com/)
11:22:46	30999/30999	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:38:08%20GMT	https://rajbarcode.com/wp-content/plugins/vaximo-toolkit/assets/css/font-awesome.min.css?ver=7.0	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/plugins/vaximo-toolkit/assets/css/font-awesome.min8717.css	(from https://rajbarcode.com/)
11:22:47	13268/13268	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Dec%202025%2017:49:12%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/style.css?ver=7.0	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/style8717.css	(from https://rajbarcode.com/)
11:22:47	153111/153111	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:36:27%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/assets/css/bootstrap.min.css?ver=1783403563	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/assets/css/bootstrap.min5936.css	(from https://rajbarcode.com/)
11:22:47	1013/1013	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:36:27%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/assets/css/owl.theme.default.min.css?ver=1783403563	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/assets/css/owl.theme.default.min5936.css	(from https://rajbarcode.com/)
11:22:48	3351/3351	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:36:27%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/assets/css/owl.carousel.min.css?ver=1783403563	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/assets/css/owl.carousel.min5936.css	(from https://rajbarcode.com/)
11:22:48	5259/5259	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:36:27%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/assets/css/magnific-popup.min.css?ver=1783403563	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/assets/css/magnific-popup.min5936.css	(from https://rajbarcode.com/)
11:22:48	57987/57987	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:36:27%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/assets/css/animate.min.css?ver=1783403563	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/assets/css/animate.min5936.css	(from https://rajbarcode.com/)
11:22:48	53246/53246	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:36:27%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/assets/css/boxicons.min.css?ver=1783403563	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/assets/css/boxicons.min5936.css	(from https://rajbarcode.com/)
11:22:49	1547/1547	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:36:27%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/assets/css/flaticon.css?ver=1783403563	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/assets/css/flaticon5936.css	(from https://rajbarcode.com/)
11:22:49	6902/6902	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:36:27%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/assets/css/meanmenu.css?ver=1783403563	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/assets/css/meanmenu5936.css	(from https://rajbarcode.com/)
11:22:49	3168/3168	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:36:27%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/assets/css/nice-select.min.css?ver=1783403563	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/assets/css/nice-select.min5936.css	(from https://rajbarcode.com/)
11:22:50	3273/3273	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:36:27%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/assets/css/odometer.min.css?ver=1783403563	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/assets/css/odometer.min5936.css	(from https://rajbarcode.com/)
11:22:50	55145/55145	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:36:27%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/assets/css/all.min.css?ver=1783403563	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/assets/css/all.min5936.css	(from https://rajbarcode.com/)
11:22:50	1776/1776	---M-Z	200	added ('OK')	text/css	etag:W/%226f0-qUoFmzF4tK3sCeMoGs4oGaMAlaQ%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.css?ver=7.0	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick8717.css	(from https://rajbarcode.com/)
11:22:51	191724/191724	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:36:27%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/assets/css/style.min.css?ver=1783403563	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/assets/css/style.min5936.css	(from https://rajbarcode.com/)
11:22:51	44221/44221	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Aug%202023%2007:36:27%20GMT	https://rajbarcode.com/wp-content/themes/vaximo/assets/css/responsive.min.css?ver=1783403563	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/themes/vaximo/assets/css/responsive.min5936.css	(from https://rajbarcode.com/)
11:22:51	1183/1183	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Jun%202025%2013:19:19%20GMT	https://rajbarcode.com/wp-content/plugins/exclusive-addons-for-elementor/assets/vendor/css/slick.min.css?ver=7.0	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/plugins/exclusive-addons-for-elementor/assets/vendor/css/slick.min8717.css	(from https://rajbarcode.com/)
11:22:52	3317/3317	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Jun%202025%2013:19:19%20GMT	https://rajbarcode.com/wp-content/plugins/exclusive-addons-for-elementor/assets/vendor/css/slick-theme.min.css?ver=7.0	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/plugins/exclusive-addons-for-elementor/assets/vendor/css/slick-theme.min8717.css	(from https://rajbarcode.com/)
11:22:52	100885/100885	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Jun%202025%2013:19:19%20GMT	https://rajbarcode.com/wp-content/plugins/exclusive-addons-for-elementor/assets/vendor/css/imagehover.css?ver=7.0	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/plugins/exclusive-addons-for-elementor/assets/vendor/css/imagehover8717.css	(from https://rajbarcode.com/)
11:22:52	12876/12876	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Jun%202025%2013:19:19%20GMT	https://rajbarcode.com/wp-content/plugins/exclusive-addons-for-elementor/assets/vendor/css/swiper.min.css?ver=2.7.9.4	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/plugins/exclusive-addons-for-elementor/assets/vendor/css/swiper.min07cb.css	(from https://rajbarcode.com/)
11:22:53	134278/134278	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Jun%202025%2013:19:19%20GMT	https://rajbarcode.com/wp-content/plugins/exclusive-addons-for-elementor/assets/css/exad-styles.min.css?ver=7.0	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/plugins/exclusive-addons-for-elementor/assets/css/exad-styles.min8717.css	(from https://rajbarcode.com/)
11:22:53	21178/21178	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Jun%202025%2013:19:44%20GMT	https://rajbarcode.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.40.0	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minf531.css	(from https://rajbarcode.com/)
11:22:53	1231/1231	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Dec%202025%2016:58:03%20GMT	https://rajbarcode.com/wp-content/uploads/elementor/css/post-12.css?ver=1765213083	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/uploads/elementor/css/post-12061a.css	(from https://rajbarcode.com/)
11:22:53	3324/3324	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Jun%202025%2013:19:00%20GMT	https://rajbarcode.com/wp-content/plugins/sticky-header-effects-for-elementor/assets/css/she-header-style.css?ver=2.0	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/plugins/sticky-header-effects-for-elementor/assets/css/she-header-styled5f7.css	(from https://rajbarcode.com/)
11:22:54	600/600	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Jun%202025%2013:19:43%20GMT	https://rajbarcode.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.29.2	C:/Users/iladh/OneDrive/Desktop/raj/raj-barcode/rajbarcode.com/wp-content/plugins/elementor/assets/css/widget-heading.min2801.css	(from https://rajbarcode.com/)
